Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
P12819	reviewed	PRT1A_ONCMY	Protamine-1A (Protamine PRTP43/PPC 2E)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	31	Evidence at protein level
P12836	reviewed	GLHA_MURCI	Glycoprotein hormones alpha chain (GTH-alpha) (Gonadotropin alpha chain)	cga	Muraenesox cinereus (Daggertooth pike conger) (Muraena cinerea)	93	Evidence at protein level
P12837	reviewed	GTHB_MURCI	Gonadotropin subunit beta (Gonadotropin beta chain)	cgb	Muraenesox cinereus (Daggertooth pike conger) (Muraena cinerea)	113	Evidence at protein level
P13104	reviewed	TPM1_DANRE	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	tpma tpm1	Danio rerio (Zebrafish) (Brachydanio rerio)	284	Evidence at transcript level
P13152	reviewed	GLHA1_ONCKE	Glycoprotein hormones alpha chain 1 (GTH-alpha) (Gonadotropin 1 alpha chain)	cgaa	Oncorhynchus keta (Chum salmon) (Salmo keta)	108	Evidence at transcript level
P13241	reviewed	CRF1_CATCO	Corticoliberin-1 (Corticotropin-releasing factor 1) (CRF 1) (Corticotropin-releasing hormone 1)	crf1	Catostomus commersonii (White sucker) (Cyprinus commersonnii)	162	Evidence at protein level
P13391	reviewed	SOMA_ORENI	Somatotropin (Growth hormone)	gh	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	204	Evidence at transcript level
P15305	reviewed	DYHC_ONCMY	Dynein heavy chain (DYHC)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	515	Evidence at transcript level
P15861	reviewed	HXB6A_DANRE	Homeobox protein Hox-B6a (Hox-B6) (Homeobox protein Zf-22)	hoxb6a hox-b6 hoxb6 zf22	Danio rerio (Zebrafish) (Brachydanio rerio)	228	Evidence at transcript level
P15862	reviewed	HXC6A_DANRE	Homeobox protein Hox-C6a (Hox-C6) (Homeobox protein Zf-61)	hoxc6a hox-c6 hoxc6 zf61 zgc:101882	Danio rerio (Zebrafish) (Brachydanio rerio)	231	Evidence at transcript level
P15952	reviewed	COX3_CYPCA	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	mt-co3 coiii coxiii mtco3	Cyprinus carpio (Common carp)	261	Evidence at transcript level
P15996	reviewed	ATP8_GADMO	ATP synthase F(0) complex subunit 8 (A6L) (F-ATPase subunit 8)	mt-atp8 atp8 atpase8 mtatp8	Gadus morhua (Atlantic cod)	55	Inferred from homology
P16041	reviewed	NEU3_ONCKE	Vasotocin-neurophysin VT 1 [Cleaved into: Vasotocin (VT); Neurophysin VT 1]		Oncorhynchus keta (Chum salmon) (Salmo keta)	153	Evidence at transcript level
P16042	reviewed	NEU4_ONCKE	Vasotocin-neurophysin VT 2 [Cleaved into: Vasotocin (VT); Neurophysin VT 2]		Oncorhynchus keta (Chum salmon) (Salmo keta)	158	Evidence at transcript level
P16049	reviewed	TRY1_GADMO	Trypsin-1 (EC 3.4.21.4) (Trypsin I)		Gadus morhua (Atlantic cod)	241	Evidence at protein level
P16229	reviewed	NEU4_CATCO	Vasotocin-neurophysin VT 2 [Cleaved into: Vasotocin (VT); Neurophysin VT 2]		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	155	Evidence at transcript level
P16366	reviewed	CYB_HYPNI	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Hypsophrys nicaraguensis (Moga) (Cichlasoma nicaraguense)	79	Inferred from homology
P16367	reviewed	CYB_JULRE	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Julidochromis regani (Convict julie)	79	Inferred from homology
P17561	reviewed	EPD_DANRE	Ependymin (EPD)	epd	Danio rerio (Zebrafish) (Brachydanio rerio)	217	Evidence at transcript level
P17640	reviewed	MCH1_ONCTS	Pro-MCH 1 [Cleaved into: Neuropeptide-glutamic acid-valine (Neuropeptide E-V) (NEV); Melanin-concentrating hormone (MCH)]	mch1	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	132	Evidence at transcript level
P17691	reviewed	NEUM_CARAU	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43)	gap43	Carassius auratus (Goldfish)	213	Evidence at transcript level
P18301	reviewed	STC_ANGAU	Stanniocalcin (STC) (Corpuscles of Stannius protein) (CS) (Hypocalcin) (Teleocalcin)	stc	Anguilla australis (Australian eel)	250	Evidence at protein level
P18520	reviewed	ION3_CARAU	Intermediate filament protein ON3		Carassius auratus (Goldfish)	520	Evidence at transcript level
P18857	reviewed	GLHA2_CYPCA	Glycoprotein hormones alpha chain 2 (GTH-alpha) (Gonadotropin alpha chain 2)	cgab cgb	Cyprinus carpio (Common carp)	118	Inferred from homology
P19618	reviewed	NCPR_SALTR	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	por	Salmo trutta (Brown trout)	601	Evidence at protein level
P19713	reviewed	MCH1_ONCKE	Pro-MCH 1 [Cleaved into: Neuropeptide-glutamic acid-valine (Neuropeptide E-V) (NEV); Melanin-concentrating hormone (MCH)]	mch1	Oncorhynchus keta (Chum salmon) (Salmo keta)	132	Evidence at protein level
P20362	reviewed	SOML_PAROL	Somatolactin (SL)		Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	231	Evidence at protein level
P20391	reviewed	SOMA_KATPE	Somatotropin (Growth hormone)	gh	Katsuwonus pelamis (Skipjack tuna) (Scomber pelamis)	185	Evidence at protein level
P20593	reviewed	MX_PERFL	Interferon-induced GTP-binding protein Mx (Interferon-inducible Mx protein)	mx	Perca fluviatilis (European perch)	301	Evidence at transcript level
P20684	reviewed	COX3_ONCCL	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	mt-co3 coiii coxiii mtco3	Oncorhynchus clarkii (Cutthroat trout) (Salmo clarkii)	261	Inferred from homology
P21624	reviewed	UTS1_PLAFE	UI [Cleaved into: Urophysin; Urotensin-1 (Urotensin I)]		Platichthys flesus (European flounder) (Pleuronectes flesus)	60	Evidence at protein level
P21780	reviewed	SMS2_PLAFE	Somatostatin-2 (Somatostatin II) [Cleaved into: [Tyr21,Gly24]-somatostatin-28; [Tyr7,Gly10]-somatostatin-14]	sst2	Platichthys flesus (European flounder) (Pleuronectes flesus)	73	Evidence at protein level
P21848	reviewed	ALBU1_SALSA	Albumin 1	alb1	Salmo salar (Atlantic salmon)	608	Evidence at transcript level
P21857	reviewed	UTS2_PLAFE	Urotensin-2 (Urotensin II) (U-II) (UII) [Cleaved into: Urotensin-2 beta]		Platichthys flesus (European flounder) (Pleuronectes flesus)	83	Evidence at protein level
P22642	reviewed	ANFV_ANGJA	Ventricular natriuretic peptide (VNP)	vnp	Anguilla japonica (Japanese eel)	150	Evidence at protein level
P22647	reviewed	H2AZ_ONCMY	Histone H2A.Z (H2A/z)	h2az1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	128	Evidence at protein level
P23067	reviewed	PAP2_PARPV	Pardaxin P-2 (Pardaxin Pa2)		Pardachirus pavoninus (Peacock sole) (Achirus pavoninus)	33	Evidence at protein level
P23633	reviewed	NU4LM_GADMO	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)	MT-ND4L MTND4L NADH4L ND4L	Gadus morhua (Atlantic cod)	98	Inferred from homology
P23735	reviewed	MUCM_ICTPU	Ig mu chain C region membrane-bound form		Ictalurus punctatus (Channel catfish) (Silurus punctatus)	380	Evidence at transcript level
P24363	reviewed	SOMA_PSEDN	Somatotropin (Growth hormone)	gh	Pseudocaranx dentex (White trevally) (Caranx delicatissimus)	206	Evidence at transcript level
P24405	reviewed	SOML_ONCKE	Somatolactin (SL)		Oncorhynchus keta (Chum salmon) (Salmo keta)	233	Evidence at transcript level
P24722	reviewed	KCRT_ONCMY	Creatine kinase, testis isozyme (EC 2.7.3.2)	tck1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	383	Evidence at transcript level
P24774	reviewed	RET4A_ONCMY	Retinol-binding protein 4-A (Plasma retinol-binding protein 1) (PRBP-1) (Plasma retinol-binding protein II) (PRBP-I)	rbp4a	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	176	Evidence at protein level
P24775	reviewed	RET4B_ONCMY	Retinol-binding protein 4-B (Plasma retinol-binding protein 2) (PRBP-2) (Plasma retinol-binding protein II) (PRBP-II)	rbp4b	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	176	Evidence at protein level
P24946	reviewed	ATP6_CYPCA	ATP synthase F(0) complex subunit a (F-ATPase protein 6) (Proton-conducting channel, ATP synthase F(0) complex subunit a)	mt-atp6 atp6 atpase6 mtatp6	Cyprinus carpio (Common carp)	227	Inferred from homology
P24948	reviewed	ATP8_CYPCA	ATP synthase F(0) complex subunit 8 (A6L) (F-ATPase subunit 8)	mt-atp8 atp8 atpase8 mtatp8	Cyprinus carpio (Common carp)	54	Inferred from homology
P24951	reviewed	CYB_CYPCA	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Cyprinus carpio (Common carp)	381	Inferred from homology
P24972	reviewed	NU2M_CYPCA	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	Cyprinus carpio (Common carp)	348	Inferred from homology
P24979	reviewed	NU5M_CYPCA	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	Cyprinus carpio (Common carp)	607	Inferred from homology
P24987	reviewed	COX2_CYPCA	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Cyprinus carpio (Common carp)	230	Inferred from homology
P25127	reviewed	MT_ESOLU	Metallothionein (MT)	mt	Esox lucius (Northern pike)	60	Inferred from homology
P25308	reviewed	CRF2_CATCO	Corticoliberin-2 (Corticotropin-releasing factor 2) (CRF 2) (Corticotropin-releasing hormone 2)	crf2	Catostomus commersonii (White sucker) (Cyprinus commersonnii)	162	Evidence at protein level
P25327	reviewed	PRTZ1_SAROR	Protamine-Z1/Z2 (Sardaine-Z1/Z2)		Sarda orientalis (Striped bonito) (Pelamys orientalis)	34	Evidence at protein level
P26351	reviewed	TYB11_ONCMY	Thymosin beta-11		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	42	Evidence at protein level
P26352	reviewed	TYB12_ONCMY	Thymosin beta-12		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	43	Evidence at protein level
P26773	reviewed	SOMA1_ACIGU	Somatotropin-1 (Growth hormone I) (Somatotropin I)	gh1	Acipenser gueldenstaedtii (Russian sturgeon) (Danube sturgeon)	190	Evidence at protein level
P26774	reviewed	SOMA2_ACIGU	Somatotropin-2 (Growth hormone II) (Somatotropin II)	gh2	Acipenser gueldenstaedtii (Russian sturgeon) (Danube sturgeon)	190	Evidence at protein level
P26788	reviewed	LEG1_CONMY	Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I)		Conger myriaster (Conger eel)	135	Evidence at protein level
P27447	reviewed	YES_XIPHE	Tyrosine-protein kinase Yes (EC 2.7.10.2) (p61-Yes)	yes	Xiphophorus hellerii (Green swordtail)	544	Evidence at transcript level
P27767	reviewed	GTHB2_ANGAN	Gonadotropin subunit beta-2 (GTH-II-beta) (Gonadotropin beta-II chain)	cgbb	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	140	Evidence at transcript level
P27794	reviewed	GLHA_ANGAN	Glycoprotein hormones alpha chain (GTH-alpha) (Gonadotropin alpha chain)	cga	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	117	Inferred from homology
P28022	reviewed	CRGM3_CYPCA	Gamma-crystallin M3 (Gamma-M3)		Cyprinus carpio (Common carp)	174	Inferred from homology
P28145	reviewed	WNT6_THUTH	Protein Wnt-6	wnt6	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	117	Inferred from homology
P28146	reviewed	WNT8_THUTH	Protein Wnt-8	wnt8	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	128	Inferred from homology
P28270	reviewed	DHE3_ELEEL	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)		Electrophorus electricus (Electric eel) (Gymnotus electricus)	51	Evidence at protein level
P28672	reviewed	NPY_CARAU	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]	npy	Carassius auratus (Goldfish)	96	Inferred from homology
P28770	reviewed	EPD1_ONCMY	Ependymin-1 (Ependymin I) (EPD-I)	epd1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	221	Evidence at protein level
P28771	reviewed	EPD2_ONCMY	Ependymin-2 (Ependymin II) (EPD-II)	epd2	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	221	Evidence at transcript level
P28772	reviewed	EPD2_SALSA	Ependymin-2 (Ependymin II) (EPD-II)	epd2	Salmo salar (Atlantic salmon)	221	Evidence at transcript level
P29071	reviewed	NPY_ONCMY	Neuropeptide Y (NPY)	npy	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	36	Evidence at protein level
P29335	reviewed	INS_AMICA	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Amia calva (Bowfin)	52	Evidence at protein level
P29655	reviewed	COX2_AMICA	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Amia calva (Bowfin)	74	Inferred from homology
P29656	reviewed	COX2_ATRSP	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	72	Inferred from homology
P29657	reviewed	COX2_GEOSD	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Geophagus steindachneri (Red hump earth eater)	64	Inferred from homology
P29658	reviewed	COX2_GOMVA	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Gomphosus varius (Bird wrasse) (Gomphosus tricolor)	72	Inferred from homology
P29659	reviewed	COX2_LEPOC	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Lepisosteus oculatus (Spotted gar)	72	Inferred from homology
P29660	reviewed	COX2_MEGAT	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Megalops atlanticus (Tarpon) (Clupea gigantea)	74	Inferred from homology
P29661	reviewed	COX2_POLSX	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Polypterus sp. (Bichir)	48	Inferred from homology
P29662	reviewed	COX2_SCAPL	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Scaphirhynchus platorynchus (Shovelnose sturgeon) (Acipenser platorynchus)	64	Inferred from homology
P29663	reviewed	CYB_AMICA	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Amia calva (Bowfin)	379	Inferred from homology
P29664	reviewed	CYB_ATRSP	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	380	Inferred from homology
P29665	reviewed	CYB_GEOSD	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Geophagus steindachneri (Red hump earth eater)	96	Inferred from homology
P29666	reviewed	CYB_GOMVA	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Gomphosus varius (Bird wrasse) (Gomphosus tricolor)	95	Inferred from homology
P29667	reviewed	CYB_LEPOC	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Lepisosteus oculatus (Spotted gar)	380	Inferred from homology
P29668	reviewed	CYB_MEGAT	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Megalops atlanticus (Tarpon) (Clupea gigantea)	102	Inferred from homology
P29669	reviewed	CYB_POLSX	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Polypterus sp. (Bichir)	100	Inferred from homology
P29670	reviewed	CYB_POMNI	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Pomoxis nigromaculatus (Black crappie) (Cantharus nigromaculatus)	85	Inferred from homology
P29671	reviewed	CYB_SALTR	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Salmo trutta (Brown trout)	380	Inferred from homology
P29672	reviewed	CYB_SCAPL	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Scaphirhynchus platorynchus (Shovelnose sturgeon) (Acipenser platorynchus)	98	Inferred from homology
P29971	reviewed	SOMA_SPAAU	Somatotropin (Growth hormone)	gh	Sparus aurata (Gilthead sea bream)	204	Evidence at transcript level
P30568	reviewed	GSTA_PLEPL	Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta)		Pleuronectes platessa (European plaice)	225	Evidence at transcript level
P30970	reviewed	GLHA_ACALA	Glycoprotein hormones alpha chain (GTH-alpha) (Gonadotropin alpha chain)	cga	Acanthopagrus latus (Yellowfin seabream) (Sparus latus)	117	Inferred from homology
P30971	reviewed	GTHB1_FUNHE	Gonadotropin subunit beta-1 (GTH-I-beta) (Gonadotropin beta-I chain)	cgba	Fundulus heteroclitus (Killifish) (Mummichog)	114	Inferred from homology
P30972	reviewed	GTHB2_FUNHE	Gonadotropin subunit beta-2 (GTH-II-beta) (Gonadotropin beta-II chain)	cgbb	Fundulus heteroclitus (Killifish) (Mummichog)	136	Evidence at transcript level
P30983	reviewed	GLHA_CTEID	Glycoprotein hormones alpha chain (GTH-alpha) (Gonadotropin alpha chain)	cga	Ctenopharyngodon idella (Grass carp) (Leuciscus idella)	118	Inferred from homology
P31367	reviewed	PO6F1_DANRE	POU domain, class 6, transcription factor 1 (POU domain protein C) (POU[C]) (ZfPOU[C])	pou6f1 pou[c] pouc	Danio rerio (Zebrafish) (Brachydanio rerio)	610	Evidence at transcript level
P31393	reviewed	PLST_CARAU	Plasticin		Carassius auratus (Goldfish)	453	Evidence at transcript level
P32187	reviewed	EPD_CLUHA	Ependymin (EPD)	epd	Clupea harengus (Atlantic herring)	212	Evidence at transcript level
P32188	reviewed	EPD_ESOLU	Ependymin (EPD)	epd	Esox lucius (Northern pike)	221	Evidence at transcript level
P32251	reviewed	ADRA2_CARAU	Alpha-2 adrenergic receptor (Alpha-2 adrenoreceptor) (Alpha-2 adrenoceptor)		Carassius auratus (Goldfish)	436	Inferred from homology
P33248	reviewed	TYB12_LATJA	Thymosin beta-12		Lateolabrax japonicus (Japanese sea perch) (Japanese sea bass)	44	Evidence at protein level
P33439	reviewed	GON1_CLAGA	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]	gnrh1	Clarias gariepinus (North African catfish) (Silurus gariepinus)	80	Evidence at protein level
P33745	reviewed	MCH1_ONCMY	Pro-MCH 1 [Cleaved into: Neuropeptide-glutamic acid-valine (Neuropeptide E-V) (NEV); Melanin-concentrating hormone (MCH)]	mch1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	132	Evidence at transcript level
P34181	reviewed	PRL_CORAU	Prolactin (PRL)	prl	Coregonus autumnalis (Arctic cisco) (Salmo autumnalis)	210	Evidence at transcript level
P34187	reviewed	NU2M_FORLA	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	348	Inferred from homology
P34189	reviewed	COX2_FORLA	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	230	Inferred from homology
P34190	reviewed	ATP8_FORLA	ATP synthase F(0) complex subunit 8 (A6L) (F-ATPase subunit 8)	mt-atp8 atp8 atpase8 mtatp8	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	55	Inferred from homology
P34191	reviewed	ATP6_FORLA	ATP synthase F(0) complex subunit a (F-ATPase protein 6) (Proton-conducting channel, ATP synthase F(0) complex subunit a)	mt-atp6 atp6 atpase6 mtatp6	Formosania lacustris (Oriental stream loach) (Crossostoma lacustre)	227	Inferred from homology
